SMILES,Masse_Molaire
O=C(NC1CCCCC1)c1ccccc1Cl,237.72523
NC(=O)c1c[nH]c2ccccc12,160.17262
Cc1cccc(NCc2ccccc2)n1,198.26366
CC1(C)COCC(N)=N1,128.17228
NC(=O)N=C(N)N,102.09523
Nc1noc2ccccc12,134.13534
CC(NC(=O)Nc1cc2[nH]ncc2cn1)c1ccccc1,281.31249
O=C(NO)c1cncnc1,139.11209
CNC(CN)c1ccccc1,150.22085
CC1COC(N)=N1,100.11912
Nc1cc2[nH]nc(-c3ccncc3)c2cn1,211.22266
CCCC(NC(=O)OCC)C(=O)NC,202.25081
CC(C)(CN)CO,103.16282
O=C(O)c1c[nH]c(-c2ccccn2)c1,188.18272
CNC(=O)C(N)=O,102.09194
C#CC1CNC2CCOC12,137.17904
O=C(Nc1n[nH]c2c1CNC2)c1ccccn1,229.23793
O=C(NCC1CCC1)Nc1ccccn1,205.2563
O=C(NCc1ccccc1)Nc1cc2[nH]ncc2cn1,267.28591
Nc1ccc(-c2cccs2)cc1NC(=O)c1ccccc1,294.37086
COCC(=O)NC(C)c1ccccc1,193.24229
Cc1cccc2[nH]c(=O)c3sccc3c12,215.27095
COC(C(N)=O)c1ccccc1,165.18913
O=C(O)C1CCNCC1,129.15703
CNC(C(=O)O)C1CCCCC1,171.23678
O=C(O)c1scc2c1CNCN2,184.21562
NC1CCc2ccccc2C1Cc1ccccc1,237.33946
Cc1ccnc2[nH]c(C3CCNCC3)cc12,215.29418
Cc1ccc2nc[nH]c2c1,132.16252
O=C(NCC1CNCO1)c1cccs1,212.26877
Fc1ccccc1Nc1ncnc2ccccc12,239.2477
NCCS(N)(=O)=O,124.16211
CCCC(N)C(=O)O,117.14634
CC1CC(O)C1,86.1323
O=C1NCCCN2CCC=C12,152.19368
NC(=O)n1ccc2ccccc21,160.17262
CC(N)CCO,89.13623
Oc1c(F)cccc1F,130.09216
CN1CCC(O)C1,101.14694
OC1CCCCC1,100.15888
CN(C)CCO,89.13624
OC1(C(F)(F)F)c2ccccc2-c2ccccc21,250.21586
CC1(C)CC(NC(=O)Nc2ccccc2)c2ccccc2O1,296.3636
COC(C)(C)C(=O)O,118.13109
COC(C)C(=O)O,104.10452
Nc1cc[nH]c(=O)c1,110.11393
O=C(O)c1ccccn1,123.1094
CC1(C)CNCCC1(O)c1ccccc1,205.29606
CCCC(=N)NC(=O)Cc1ccccc1,204.26824
Cc1nc2ccccc2[nH]1,132.16252
OCCn1cccn1,112.12982
OCc1cccc2c1-c1ccccc1C2,196.24448
O=S(=O)(Nc1ccncn1)c1ccccc1,235.26235
O=S(=O)(Nc1ccccn1)c1ccccc1,234.2743
OCC1=CCCC=C1,110.1537
Oc1c(Cl)cccc1Cl,163.00136
Oc1c(F)cccc1Cl,146.54676
NC1=NC(c2ccccc2)CO1,162.1885
CN1CCCNCC1,114.18875
CC1CCNCC1,99.17412
c1ccc(Nc2nc3ccccc3[nH]2)cc1,209.24654
O=C(O)Cc1cn[nH]c1,126.11334
COC(=O)C(N)C(C)C,131.17291
CC(C)c1ccc(O)cc1O,152.19038
O=C(c1nc2ccccc2[nH]1)N1CCC1,201.22454
CC1(C)N=C(N)OC2CC21,140.18298
Cc1ccc2cc[nH]c2c1,131.17446
O=C(Nc1cc2ccccc2cn1)C1CC1,212.24718
O=C(c1ccccc1)c1nc2ccccc2[nH]1,222.242
c1ccc(Nc2nc3ccccc3s2)cc1,226.29689
Cc1cc(NC(=O)C2CCNC2)nn1-c1ccccc1,270.32962
CC(=O)NC(C)c1ccccc1,163.21632
NC(=O)Cc1ccccc1,135.16316
NC(=O)c1nccs1,128.15236
Cc1[nH]cnc1C(N)=O,125.12858
CC#CC(C)(O)C(=O)N1CCC1,167.20502
c1ccc2c3c(oc2c1)CCNC3,173.21113
CC(N)CCN,88.15148
CC(O)(c1ccccc1)c1ccccc1,198.26036
O=C(NC1CC1)c1cccs1,167.22815
c1ccc(Nc2nc3ccccc3o2)cc1,210.2313
CCNS(N)(=O)=O,124.16211
CN(C)CC(N)=O,102.135
CC(=O)NC(C)Cc1ccccc1,177.2429
